id_original,name,id
13685,Columbia Pictures Corporation,441
47475,Touchstone Pictures,9195
2045,Metro-Goldwyn-Mayer (MGM),8411
2045,Dino De Laurentiis Company,10308
2045,Spelling Films,10355
9614,Universal Pictures,33
9614,Brillstein-Grey Entertainment,1606
9614,Robert Simonds Productions,3929
688,Amblin Entertainment,56
688,Malpaso Productions,171
688,Warner Bros.,6194
11907,,
10874,Walt Disney Pictures,2
10874,Jim Henson Productions,2504
10874,"Jim Henson Company, The",6254
89333,,
96357,,
197,Icon Entertainment International,4564
197,The Ladd Company,7965
197,B.H. Finance C.V.,11353
103,Columbia Pictures Corporation,441
103,Italo/Judeo Productions,46059
103,Bill/Phillips,46060
33542,New Line Cinema,12
33542,Golden Harvest Company,2521
43566,Caravan Pictures,175
43566,Hollywood Pictures,915
71754,Téléfilm Canada,806
71754,Skyline Films,2055
71754,Malofilm,3498
71754,Société de Développement des Entreprises Culturelles (SODEC),9116
71754,British Screen Productions,12745
71754,National Film Board of Canada (NFB),17027
71754,imX Communications,22150
71754,Glace Bay Pictures,38673
71754,Ciné Télé Action,38674
71754,Nova Scotia Film Development Corporation,40534
71754,Ranfilm,85045
43612,France 2 Cinéma,83
43612,France 3 Cinéma,591
43612,StudioCanal,694
43612,Les Productions du Champ Poirier,883
43612,Téléma Productions,885
51352,,
16934,Bavaria Film and Television Fund,3236
10324,TriStar Pictures,559
10324,Motion Picture Corporation of America (MPCA),11061
78406,Savoy Pictures,11308
55731,TriStar Pictures,559
32119,,
11066,Paramount Pictures,4
11104,Jet Tone Production,540
11104,The Criterion Collection,10932
37975,Cecchi Gori Group Tiger Cinematografica,371
2074,Miramax Films,14
27793,Studio Babelsberg,264
27793,Dieter Geissler Filmproduktion,1766
27793,Cinevox Filmproduktion GmbH,1979
27793,Warner Bros.,6194
27793,Miramax,53009
44284,Canal Horizons,22029
44284,Mat Films,22618
44284,Cinétéléfilms,71842
290157,,
110972,,
32622,,
73067,Fine Line Features,8
73067,Channel Four Films,181
73067,Bórd Scannán na hÉireann,1898
73067,Canal+,5358
11863,Paramount Pictures,4
55475,Cigua Films,93488
55475,D'Pelicula,93489
124636,,
9101,Twentieth Century Fox Film Corporation,306
123360,Couch Potatoe Productions,68229
5757,,
39428,Channel Four Films,181
39428,Academy,38778
39428,Mayfair Films,94477
39428,Iberoamerica Films,94478
124639,,
9302,Cinergi Pictures Entertainment,1504
9302,Touchstone Pictures,9195
11000,United Artists,60
249882,,
16388,Fox Searchlight Pictures,43
9737,Columbia Pictures,5
9737,Don Simpson/Jerry Bruckheimer Films,10288
30765,Warner Bros.,6194
10474,New Line Cinema,12
10474,Island Pictures,3492
22279,Fine Line Features,8
22279,BBC,5996
22279,British Screen Productions,12745
22279,Portman Productions,16027
30157,Channel Four Films,181
30157,Zenith Entertainment,3644
30157,American Playhouse,3906
30157,Union Générale Cinématographique (UGC),7248
30157,La Sept Cinéma,16366
30157,True Fiction Pictures,37909
568,Imagine Entertainment,23
568,Universal Pictures,33
11780,United Artists,60
11780,Talisman Productions,8989
34996,October Films,236
34996,Guild,1214
34996,Fastnet Films,5353
414,Warner Bros.,6194
414,Polygram Filmed Entertainment,31080
649,Paris Films Productions,386
649,Five Films,387
649,Robert et Raymond Hakim,11290
1873,Columbia Pictures,5
1873,Castle Rock Entertainment,97
5894,Miramax Films,14
5894,InterAL,30334
1775,PolyGram Filmed Entertainment,1382
8839,Universal Pictures,33
8839,Amblin Entertainment,56
8839,The Harvey Entertainment Company,11098
20649,Universal Pictures,33
20649,40 Acres & A Mule Filmworks,4319
10329,Paramount Pictures,4
10329,"Kennedy/Marshall Company, The",7383
8963,Hollywood Pictures,915
8963,Don Simpson/Jerry Bruckheimer Films,10288
26564,Superior Pictures,4532
8068,Columbia Pictures,5
8068,Los Hooligans Productions,11705
8512,TriStar Pictures,559
8512,Mundy Lane Entertainment,2510
1572,Twentieth Century Fox Film Corporation,306
1572,Cinergi Pictures Entertainment,1504
13552,Why Not Productions,729
13552,Desperate Pictures,1474
13552,Blurco,2765
13552,The Teen Angst Movie Company,18902
259209,Touchstone Pictures,9195
259209,Merchant Ivory Productions,20740
6520,Columbia Pictures Corporation,441
6520,First Knight Productions,10158
9073,Regency Enterprises,508
9073,Alcor Films,644
9073,Canal+,5358
9073,Donner/Shuler-Donner Productions,5739
9073,Warner Bros.,6194
10428,United Artists,60
10428,Suftley,87394
17447,The Booking Office,12909
17447,Workin' Man Films,12910
9886,TriStar Pictures,559
9886,Alliance Communications Corporation,2480
9482,Hollywood Pictures,915
9482,Cinergi Pictures Entertainment,1504
19326,TriStar Pictures,559
9344,Miramax Films,14
9071,JDI productions,13187
9071,Lemon Sky Productions,13190
8973,United Artists,60
8973,Seraphim Films,3557
15730,The Ontario Film Development Corporation,1203
15730,First Choice Films,2267
15730,Atlantis Films,4350
15730,Telefilm Canada,7320
15730,Max Films Productions,7828
15730,Super Écran,11578
15730,Société Générale des Industries Culturelles du Québec (SOGIC),35859
47608,Touchstone Pictures,9195
2293,Universal Pictures,33
2293,Gramercy Pictures,37
2293,Alphaville Films,11462
2293,View Askew Productions,16934
9070,Twentieth Century Fox Film Corporation,306
9070,Saban Entertainment,2106
9070,Toei Company,9255
68274,PolyGram Filmed Entertainment,1382
68274,Working Title Films,10163
48787,Comet Film Produktion GmbH,16561
48787,Avrora Media,38959
48787,Cobblestone Pictures,38960
34574,Kino Link Company,37897
1642,Columbia Pictures,5
11472,Twentieth Century Fox Film Corporation,306
11472,1492 Pictures,436
36196,Party Productions,37890
11980,Dimension Films,7405
58372,Playhouse International Pictures,2492
58372,American Playhouse,3906
58372,"Samuel Goldwyn Company, The",28205
32646,Killer Films,1422
32646,American Playhouse,3906
32646,Kardana Films,38692
32646,Chemical Films,39861
10533,Hollywood Pictures,915
10533,Cinergi Pictures Entertainment,1504
10802,United Artists,60
10802,Le Studio Canal+,183
10802,Carolco Pictures,14723
10149,Miramax Films,14
18402,Spring Creek Productions,705
18402,Warner Bros.,6194
18402,Hawn / Sylbert Movie Company,16368
9348,Metro-Goldwyn-Mayer (MGM),8411
139408,Malpaso Productions,171
139408,Butcher's Run Films,3864
139408,Warner Bros.,6194
281,Lightstorm Entertainment,574
5967,Beta Film,1080
5967,Madeleine Films,1147
5967,Parc Film,14680
79593,Hollywood Pictures,915
79593,PolyGram Filmed Entertainment,1382
79593,Interscope Communications,10201
47939,Savoy Pictures,11308
36834,Société Française de Production (SFP),6849
36834,FIT Productions,16026
36834,Portman Productions,16027
9090,Universal Pictures,33
9090,Amblin Entertainment,56
3512,Regency Enterprises,508
3512,Warner Bros.,6194
3512,Seagal/Nasso Productions,17825
3512,Victor Company of Japan (JVC),21480
3512,Cutting Edge Films,63906
52856,Hollywood Pictures,915
77350,,
9560,Twentieth Century Fox Film Corporation,306
9560,Zucker Brothers Productions,2851
9804,Universal Pictures,33
9804,Gordon Company,1073
9804,Davis Entertainment,1302
9804,Licht/Mueller Film Corporation,6092
31611,HBO,6068
31611,A BandApart,6911
31611,Rysher Entertainment,11661
65796,United Artists,60
49805,Paramount Pictures,4
26258,Twentieth Century Fox Film Corporation,306
50797,Canal+,5358
50797,Studio Trite,6453
50797,Caméra One,6454
19155,PolyGram Audiovisuel,6367
19155,British Screen Productions,12745
76,Detour Film Production,98
76,Warner Bros.,6194
11017,Jack Giarraputo Productions,6365
37141,Spelling Films International,18189
9382,Regency Enterprises,508
9382,Alcor Films,644
9382,Canal+,5358
9382,New Regency Pictures,10104
9382,Hera Productions,16192
6715,Universal Pictures,33
6715,Island World,1595
18256,Full Moon Entertainment,4867
22625,The Rank Organisation,364
22625,Bórd Scannán na hÉireann,1898
22625,Lantana,4127
22625,Price Entertainment,23808
2292,Miramax Films,14
2292,View Askew Productions,16934
1909,New Line Cinema,12
1909,American Zoetrope,70
8984,Warner Bros.,6194
8984,Baltimore Pictures,11407
61813,Keystone Pictures,15709
61813,Dream Man Productions Inc,52095
4954,Paramount Pictures,4
62488,Savoy Pictures,11308
62488,Rysher Entertainment,11661
10531,Fine Line Features,8
10531,Channel Four Films,181
10531,Capitol Films,826
10531,TF1 Films Production,3823
10531,Canal+,5358
10531,Flach Film,8277
10531,Les Films de l'Astre,68141
11929,Castle Rock Entertainment,97
11929,Columbia Pictures Corporation,441
8467,New Line Cinema,12
8467,Motion Picture Corporation of America (MPCA),11061
10451,Ang Lee Productions,5528
10451,Good Machine,10565
10451,Central Motion Pictures,25345
20156,Miramax Films,14
20156,Alliance Entertainment,10166
20156,Ego Film Arts,12800
18395,Savoy Pictures,11308
522,Touchstone Pictures,9195
397,Twentieth Century Fox Film Corporation,306
397,PolyGram Filmed Entertainment,1382
397,Working Title Films,10163
397,Prufrock Pictures,34207
10525,Columbia Pictures,5
10525,Castle Rock Entertainment,97
27985,Twentieth Century Fox Film Corporation,306
15789,Walt Disney Pictures,2
27303,TriStar Pictures,559
21183,Metro-Goldwyn-Mayer,21
10954,Italian International Film,1429
10954,Stéphan Films,2359
10954,MG,37581
47867,,
43475,,
72031,Miramax Films,14
14275,Fine Line Features,8
14275,Kartemquin Films,13042
1024,WingNut Films,11
1024,Miramax Films,14
1024,New Zealand Film Commission,294
1024,Fontana Productions,2306
17207,Caravan Pictures,175
17207,Hollywood Pictures,915
13701,Columbia Pictures,5
13701,Majestic Films International,2630
13701,Icon Entertainment International,4564
14819,Walt Disney Pictures,2
14819,Caravan Pictures,175
32631,Universal Pictures,33
32631,Bregman/Baer Productions,11393
11777,Paramount Pictures,4
628,Geffen Pictures,360
87729,Merchant Ivory Productions,2370
87729,Touchstone Pictures,9195
18713,Caravan Pictures,175
18713,Touchstone Pictures,9195
6280,Universal Pictures,33
6280,Northern Lights Entertainment,8816
9061,Fountainbridge Films,414
9061,Warner Bros.,6194
9061,Lee Rich Productions,36854
37108,Walt Disney Pictures,2
37108,Trimark Pictures,4063
6071,Twentieth Century Fox Film Corporation,306
11,Lucasfilm,1
11,Twentieth Century Fox Film Corporation,306
9587,Columbia Pictures,5
19101,Warner Bros.,6194
49980,Channel Four Films,181
49980,Parallax Pictures,983
17961,MK2 Productions,9209
18183,Aviacsa,84803
18183,Cinevista,84804
4476,Bedford Falls Productions,348
4476,TriStar Pictures,559
4476,Pangaea,1656
11008,Universal Pictures,33
47504,Fine Line Features,8
47504,New Line Cinema,12
47504,Live Entertainment,285
32325,Channel Four Films,181
32325,Cineville,2832
32325,Home Box Office (HBO),3268
32325,Showcase Entertaiment Inc.,36836
43742,Warner Bros.,6194
28313,Paramount Pictures,4
11318,Channel Four Films,181
11318,Samuel Goldwyn Company,798
11318,Close Call Films,23022
3036,American Zoetrope,70
3036,TriStar Pictures,559
40490,Walt Disney Pictures,2
24070,TriStar Pictures,559
8986,Paramount Pictures,4
8986,The Kennedy/Marshall Company,862
10510,Twentieth Century Fox Film Corporation,306
17402,Hollywood Pictures,915
38722,American Zoetrope,70
38722,American Playhouse,3906
38722,Majestic Films International,20928
38722,Newcomb Productions,89873
8438,Wolper Organization,2428
8438,Warner Bros.,6194
11593,Paramount Pictures,4
11593,Capella International,594
11593,Cinehaus,761
1945,Twentieth Century Fox Film Corporation,306
1945,Egg Pictures,802
1945,PolyGram Filmed Entertainment,1382
39310,40 Acres & A Mule Filmworks,4319
109560,TOEI,7260
109560,Distant Justice Joint Venture,42935
56428,Metrodome Films,11139
63105,Filmwerks,7954
63105,Imperial Entertainment,21437
131957,Triumph Films,23098
241,Regency Enterprises,508
241,Alcor Films,644
241,Ixtlan,4198
241,Warner Bros.,6194
241,New Regency Pictures,10104
241,J D Productions,68551
9058,TriStar Pictures,559
527,Avalon Studios,293
527,New Zealand Film Commission,294
527,New Zealand On Air,295
18220,New Line Cinema,12
18220,CineTel Pictures,17067
18220,MG Entertainment,17068
6950,Kopelson Entertainment,824
6950,Punch Productions,2154
6950,Warner Bros.,6194
6950,Arnold Kopelson Productions,16775
101,Columbia Pictures,5
101,Gaumont,9
63020,"Samuel Goldwyn Company, The",28205
2307,Hollywood Pictures,915
680,Miramax Films,14
680,A Band Apart,59
680,Jersey Films,216
41478,Polygram Filmed Entertainment,31080
41478,Gramercy Pictures (I),31715
41478,MVP Films,37580
25296,Ang Lee Productions,5528
40156,BBC Films,288
40156,PolyGram Filmed Entertainment,1382
40156,Miramax,53009
11450,Wildwood Enterprises,316
11450,Hollywood Pictures,915
11450,Baltimore Pictures,11407
30304,Cecile Company,84839
30304,Thousand Cranes Filmworks,84840
10452,Renn Productions,82
10452,Eurimages,850
10452,Canal+,5358
10452,ARD/Degeto Film GmbH,6187
10452,D.A. Films,6541
10452,France2 Cinéma,7089
10452,WMG Film,8923
10452,Centre National de la Cinématographie (CNC),18367
10452,N.E.F. Filmproduktion und Vertriebs GmbH,18495
10452,Miramax,53009
10452,RCS Films & TV,75913
12106,TriStar Pictures,559
161495,Hollywood Pictures,915
161495,Interscope Communications,10201
161495,Nomura Babcock & Brown,12883
3586,Miramax Films,14
110,Zespół Filmowy TOR,38
110,Le Studio Canal+,183
110,France 3 Cinéma,591
110,Télévision Suisse-Romande,1245
108,France 3 Cinéma,591
108,CED Productions,1610
109,Le Studio Canal+,183
109,France 3 Cinéma,591
109,Eurimages,850
159185,,
36357,,
92769,Allegro Films,4899
92769,Norstar Entertainment,16953
92769,west wind entertainment,24946
28033,Paramount Pictures,4
22586,Rich Animation Studios,4108
14334,Jones Entertainment Group,29272
14334,Skerry Productions,29273
2636,Jerry Weintraub Productions,2596
2636,Warner Bros.,6194
2636,Iguana Producciones,11134
2164,Centropolis Entertainment,347
2164,StudioCanal,694
2164,Carolco Entertainment,10320
11395,Walt Disney Pictures,2
11395,Hollywood Pictures,915
278,Castle Rock Entertainment,97
278,Warner Bros.,6194
9905,Channel Four Films,181
9905,Figment Films,359
9905,The Glasgow Film Fund,980
9905,PolyGram Filmed Entertainment,1382
87078,Kino Korsakoff,78701
12527,Miramax Films,14
12527,Tabasco films,6647
12527,Instituto Mexicano de Cinematografía (IMCINE),8861
12527,TeleMadrid,10015
20306,Cineville,2832
20306,Trimark Pictures,4063
36614,Samuel Goldwyn Company,798
27993,New Line Cinema,12
27993,1992 Number Four Limited Partnership,4733
27993,MHA,4734
31439,Shanghai Film Studios,1078
31439,Era International Ltd,25299
9067,Trilogy Entertainment Group,2231
9059,Universal Pictures,33
9059,Tales From The Crypt Holdings,69626
193,Paramount Pictures,4
25066,40 Acres & A Mule Filmworks,4319
25066,Savoy Pictures,11308
46797,,
12122,Universal Pictures,33
11381,Paramount Pictures,4
32636,Sony Pictures Classics,58
36141,Populist Pictures,14729
95963,Savoy Pictures,11308
95963,Price Entertainment,23808
95963,"Jackson/McHenry Company,The",37350
1587,Paramount Pictures,4
9271,Paramount Pictures,4
2064,Caravan Pictures,175
2064,Hollywood Pictures,915
19855,Universal Pictures,33
60855,Fine Line Features,8
60855,Téléfilm Canada,806
60855,First Generation Films,4908
60855,National Film Board of Canada (NFB),17027
60855,British Columbia Film Commission,36024
236,Ciby 2000,105
236,Film Victoria,11840
236,House & Moorhouse Films,39250
48287,Columbia Pictures Corporation,441
48287,Beacon Pictures,10157
3049,Warner Bros.,6194
3049,Morgan Creek Productions,10210
2759,PolyGram Filmed Entertainment,1382
12635,Gramercy Pictures,37
10497,Fine Line Features,8
10497,R.P. Productions,355
10497,Columbia Pictures Corporation,441
10497,Les Films Alain Sarde,635
10497,Canal+,5358
10497,Timothy Burrill Productions,8131
11382,Miramax Films,14
9331,Paramount Pictures,4
9331,Mace Neufeld Productions,2767
10731,Regency Enterprises,508
10731,Alcor Films,644
10731,Warner Bros.,6194
10464,New Line Cinema,12
34152,Universal Pictures,33
34152,40 Acres & A Mule Filmworks,4319
9495,Miramax Films,14
9495,Crowvision Inc.,4028
9495,Entertainment Media Investment Corporation,4029
9495,Jeff Most Productions,4030
9495,Edward R. Pressman Film,6455
29973,Regency Enterprises,508
29973,Alcor Films,644
29973,Warner Bros.,6194
29973,Aleor Films,16823
888,Universal Pictures,33
888,Amblin Entertainment,56
888,Hanna-Barbera Productions,1353
13,Paramount Pictures,4
712,Channel Four Films,181
712,PolyGram Filmed Entertainment,1382
712,Working Title Films,10163
16295,Columbia Pictures Corporation,441
16295,New Deal Productions,1947
48992,Columbia Pictures Corporation,441
48992,Think Again Productions,37294
48992,Riot of Color,37295
10879,Caravan Pictures,175
10879,Touchstone Pictures,9195
10660,TriStar Pictures,559
10714,,
41647,Channel Four Films,181
41647,Arte,201
41647,Zweites Deutsches Fernsehen (ZDF),4606
41647,Nomad Films,12914
41647,Omega Film GmbH,12915
41647,Without Walls,12916
8587,Walt Disney Pictures,2
8587,Walt Disney Feature Animation,10217
1689,Miramax Films,14
11596,New Line Cinema,12
854,New Line Cinema,12
854,Dark Horse Entertainment,552
9359,Icon Entertainment International,4564
9359,Warner Bros.,6194
23333,Fine Line Features,8
23333,Miramax Films,14
36593,Paramount Pictures,4
12280,Imagine Entertainment,23
12280,Universal Pictures,33
2788,Universal Pictures,33
2788,Jersey Films,216
10427,Propaganda Films,278
10427,PolyGram Filmed Entertainment,1382
11011,Davis Entertainment,1302
11011,Silver Pictures,1885
11011,Warner Bros.,6194
49803,New Line Cinema,12
8987,Universal Pictures,33
8987,David Foster Productions,496
8987,Turman-Foster Company,662
1637,Twentieth Century Fox Film Corporation,306
15128,Metro-Goldwyn-Mayer (MGM),8411
8831,Universal Pictures,33
8831,Renaissance Pictures,467
8831,Dark Horse Entertainment,552
8831,Largo Entertainment,1644
8831,Signature Pictures,2982
8831,JVC Entertainment Networks,4248
36955,Twentieth Century Fox Film Corporation,306
36955,Lightstorm Entertainment,574
10449,Touchstone Pictures,9195
10395,Columbia Pictures,5
12160,Tig Productions,335
12160,Warner Bros.,6194
12160,Kasdan Pictures,13040
12160,Paragon Entertainment Corp.,24217
40480,Touchstone Pictures,9195
40480,Tool Shed Productions,21857
52038,BBC Films,288
52038,Majestic Films International,2630
52038,Little Bird,11358
29444,Gramercy Pictures,37
29444,PolyGram Filmed Entertainment,1382
26352,Caravan Pictures,175
26352,Hollywood Pictures,915
39953,Strand Releasing,3923
39953,Strand Home Video,25583
41580,,
315,Eve Productions Inc.,170
22067,,
18242,Bolex Brothers,6215
18242,Lumen Films,6216
18242,Tara,6217
11667,Universal Pictures,33
11667,Capcom,7220
32502,Propaganda Films,278
32502,Motion Picture Corporation of America (MPCA),11061
32502,Polygram Filmed Entertainment,31080
32502,Snowback Productions,33419
267188,,
28732,Live Entertainment,285
28732,Capitol Films,826
28732,Bates Entertainmant,16835
75555,A-Pix Entertainment,14280
75555,Devin Entertainment,37300
42981,Walt Disney Pictures,2
42981,Theodore Thomas Productions,90509
278939,Overseas FilmGroup,888
291731,Skyline Entertainment Partners,38179
291731,Arrow,38289
226229,,
203119,Home Box Office (HBO),3268
203119,Frozen Rope Productions Inc.,38276
172923,,
316098,,
8011,Trans-Film,2662
8011,Initial Groupe,22240
8011,Lumière Pictures,25129
8011,Fallingcloud,30655
171857,,
2654,New Line Cinema,12
18069,New Line Cinema,12
19092,New Line Cinema,12
2758,Paramount Pictures,4
2758,Orion Pictures,41
2758,Scott Rudin Productions,258
38129,HBO Independent Productions,21222
10436,Columbia Pictures,5
13595,Twentieth Century Fox Film Corporation,306
13595,Island World,1595
13595,Robert Simonds Productions,3929
46094,Hollywood Pictures,915
46094,PolyGram Filmed Entertainment,1382
46094,Interscope Communications,10201
46094,Nomura Babcock & Brown,12883
46094,NBB Unit One Film Partners,82606
46094,Longview Entertainment,82607
9409,Touchstone Pictures,9195
11853,Twentieth Century Fox Film Corporation,306
11853,"Ruddy Morgan Organization, The",89311
16771,Fine Line Features,8
16771,Castle Rock Entertainment,97
16771,Barcelona Films,16737
46924,Warner Bros.,6194
46924,Enigma Productions,7049
46924,BSB,58750
46924,NatWest Ventures,79560
46924,Fujisankei,79561
11041,Twentieth Century Fox Film Corporation,306
306,Paramount Pictures,4
306,Eddie Murphy Productions,30
14522,Warner Bros.,6194
26203,New Line Cinema,12
178,Trilogy Entertainment Group,2231
178,Metro-Goldwyn-Mayer (MGM),8411
19819,Paramount Pictures,4
57834,Orion Pictures Corporation,14150
57834,Heathrow Productions,18070
4722,Warner Bros.,6194
4722,Dorset Productions,10098
4722,Robert H. Solo Productions,10099
