title,runtime,release_year
Big Bully,90.0,1996.0
Screamers,108.0,1995.0
Nico Icon,70.0,1995.0
The Crossing Guard,111.0,1995.0
The Juror,118.0,1996.0
The White Balloon,85.0,1995.0
Things to Do in Denver When You're Dead,116.0,1995.0
Antonia's Line,102.0,1995.0
Once Upon a Time... When We Were Colored,115.0,1996.0
Last Summer in the Hamptons,108.0,1995.0
Angels and Insects,118.0,1995.0
White Squall,129.0,1996.0
Dunston Checks In,88.0,1996.0
Black Sheep,87.0,1996.0
Nick of Time,90.0,1995.0
The Journey of August King,91.0,1995.0
Mary Reilly,104.0,1996.0
Vampire in Brooklyn,100.0,1995.0
Beautiful Girls,112.0,1996.0
Broken Arrow,108.0,1996.0
A Midwinter's Tale,99.0,1995.0
La Haine,98.0,1995.0
Shopping,105.0,1994.0
Heidi Fleiss: Hollywood Madam,106.0,1995.0
City Hall,111.0,1996.0
Bottle Rocket,91.0,1996.0
Mr. Wrong,96.0,1996.0
Unforgettable,106.0,1996.0
Happy Gilmore,92.0,1996.0
The Bridges of Madison County,135.0,1995.0
Nobody Loves Me,104.0,1994.0
Muppet Treasure Island,100.0,1996.0
Catwalk,95.0,1995.0
Headless Body in Topless Bar,110.0,1995.0
Braveheart,177.0,1995.0
Taxi Driver,114.0,1976.0
Rumble in the Bronx,91.0,1995.0
Before and After,108.0,1996.0
Margaret's Museum,114.0,1995.0
Happiness Is in the Field,106.0,1995.0
Anne Frank Remembered,117.0,1995.0
The Young Poisoner's Handbook,99.0,1995.0
If Lucy Fell,92.0,1996.0
Steal Big Steal Little,113.0,1995.0
Race the Sun,100.0,1996.0
The Boys of St. Vincent,90.0,1992.0
Boomerang,117.0,1992.0
Chungking Express,102.0,1994.0
The Star Maker,113.0,1995.0
Flirting with Disaster,92.0,1996.0
The Neverending Story III: Escape from Fantasia,95.0,1994.0
The Silences of the Palace,116.0,1994.0
Jupiter's Wife,87.0,1995.0
Pie in the Sky,95.0,1996.0
Angela,99.0,1995.0
Frankie Starlight,101.0,1995.0
Jade,95.0,1995.0
Nueba Yol,102.0,1995.0
Sonic Outlaws,87.0,1995.0
Down Periscope,92.0,1996.0
From the Journals of Jean Seberg,97.0,1995.0
Man of the Year,86.0,1995.0
The Neon Bible,91.0,1995.0
Target,122.0,1995.0
Up Close & Personal,119.0,1996.0
The Birdcage,117.0,1996.0
Virgin Mary,125.0,1995.0
The Brothers McMullen,98.0,1995.0
Bad Boys,118.0,1995.0
The Amazing Panda Adventure,81.0,1995.0
The Basketball Diaries,102.0,1995.0
An Awfully Big Adventure,113.0,1995.0
Amateur,105.0,1994.0
Apollo 13,140.0,1995.0
Rob Roy,139.0,1995.0
The Addiction,82.0,1995.0
Batman Forever,121.0,1995.0
Belle de Jour,101.0,1967.0
Beyond Rangoon,100.0,1995.0
Blue in the Face,83.0,1995.0
Canadian Bacon,91.0,1995.0
Casper,100.0,1995.0
Clockers,128.0,1995.0
Congo,109.0,1995.0
Crimson Tide,116.0,1995.0
Crumb,119.0,1994.0
Desperado,104.0,1995.0
Devil in a Blue Dress,102.0,1995.0
Die Hard: With a Vengeance,128.0,1995.0
The Doom Generation,80.0,1995.0
Feast of July,116.0,1995.0
First Knight,134.0,1995.0
Free Willy 2 - The Adventure Home,95.0,1995.0
Hackers,107.0,1995.0
Jeffrey,92.0,1995.0
Johnny Mnemonic,97.0,1995.0
Judge Dredd,96.0,1995.0
Jury Duty,88.0,1995.0
Kids,91.0,1995.0
Living in Oblivion,89.0,1995.0
Lord of Illusions,119.0,1995.0
Love & Human Remains,100.0,1993.0
Mad Love,95.0,1995.0
Mallrats,94.0,1995.0
Mighty Morphin Power Rangers: The Movie,92.0,1995.0
Moonlight and Valentino,100.0,1995.0
Mute Witness,95.0,1995.0
Nadja,93.0,1994.0
The Net,114.0,1995.0
Nine Months,103.0,1995.0
Party Girl,94.0,1995.0
The Prophecy,98.0,1995.0
Reckless,91.0,1995.0
Safe,119.0,1995.0
The Scarlet Letter,135.0,1995.0
Showgirls,128.0,1995.0
Smoke,112.0,1995.0
Something to Talk About,106.0,1995.0
Species,108.0,1995.0
The Stars Fell on Henrietta,109.0,1995.0
Strange Days,145.0,1995.0
The Umbrellas of Cherbourg,91.0,1964.0
The Tie That Binds,99.0,1995.0
Three Wishes,115.0,1995.0
Total Eclipse,111.0,1995.0
"To Wong Foo, Thanks for Everything! Julie Newmar",105.0,1995.0
Under Siege 2: Dark Territory,100.0,1995.0
Unstrung Heroes,93.0,1995.0
Unzipped,73.0,1995.0
A Walk in the Clouds,103.0,1995.0
Waterworld,135.0,1995.0
White Man's Burden,89.0,1995.0
Wild Bill,98.0,1995.0
The Browning Version,97.0,1994.0
Bushwhacked,90.0,1995.0
Burnt by the Sun,135.0,1994.0
Before the Rain,113.0,1994.0
Before Sunrise,105.0,1995.0
Billy Madison,89.0,1995.0
The Babysitter,90.0,1995.0
Boys on the Side,115.0,1995.0
The Cure,97.0,1995.0
Castle Freak,95.0,1995.0
Circle of Friends,103.0,1995.0
Clerks,92.0,1994.0
Don Juan DeMarco,97.0,1994.0
Disclosure,123.0,1994.0
Dream Man,0.0,1995.0
Drop Zone,101.0,1994.0
Destiny Turns on the Radio,0.0,1995.0
Death and the Maiden,103.0,1994.0
Dolores Claiborne,132.0,1995.0
Dumb and Dumber,107.0,1994.0
Eat Drink Man Woman,123.0,1994.0
Exotica,103.0,1994.0
Exit to Eden,113.0,1994.0
Ed Wood,127.0,1994.0
French Kiss,111.0,1995.0
Forget Paris,101.0,1995.0
Far from Home: The Adventures of Yellow Dog,87.0,1995.0
A Goofy Movie,78.0,1995.0
Hideaway,103.0,1995.0
Fluke,96.0,1995.0
Farinelli,111.0,1994.0
Gordy,90.0,1995.0
Gumby: The Movie,77.0,1995.0
The Glass Shield,109.0,1994.0
Hoop Dreams,171.0,1994.0
Heavenly Creatures,99.0,1994.0
Houseguest,113.0,1995.0
Immortal Beloved,121.0,1994.0
Heavyweights,100.0,1995.0
The Hunted,106.0,1995.0
I.Q.,100.0,1994.0
Interview with the Vampire,123.0,1994.0
Jefferson in Paris,139.0,1995.0
The Jerky Boys,82.0,1995.0
Junior,109.0,1994.0
Just Cause,102.0,1995.0
A Kid in King Arthur's Court,89.0,1995.0
Kiss of Death,101.0,1995.0
Star Wars,121.0,1977.0
Little Women,115.0,1994.0
A Little Princess,97.0,1995.0
Ladybird Ladybird,101.0,1994.0
L'Enfer,100.0,1994.0
Like Water for Chocolate,105.0,1992.0
Legends of the Fall,133.0,1994.0
Major Payne,95.0,1995.0
Little Odessa,98.0,1994.0
Mi Vida Loca,92.0,1994.0
Love Affair,108.0,1994.0
Losing Isaiah,106.0,1995.0
The Madness of King George,107.0,1994.0
Mary Shelley's Frankenstein,123.0,1994.0
Man of the House,96.0,1995.0
Mixed Nuts,97.0,1994.0
Milk Money,108.0,1994.0
Miracle on 34th Street,114.0,1994.0
Miami Rhapsody,95.0,1995.0
My Family,128.0,1995.0
Murder in the First,122.0,1995.0
Nobody's Fool,110.0,1994.0
Nell,112.0,1994.0
New Jersey Drive,98.0,1995.0
New York Cop,93.0,1993.0
Beyond Bedlam,89.0,1994.0
Nemesis 2 - Nebula,83.0,1995.0
Nina Takes a Lover,100.0,1995.0
Natural Born Killers,119.0,1994.0
Only You,115.0,1994.0
Once Were Warriors,99.0,1994.0
Poison Ivy II: Lily,106.0,1996.0
Outbreak,127.0,1995.0
Leon: The Professional,110.0,1994.0
The Perez Family,113.0,1995.0
A Pyromaniac's Love Story,94.0,1995.0
Pulp Fiction,154.0,1994.0
Panther,124.0,1995.0
Pushing Hands,105.0,1992.0
Priest,98.0,1994.0
Quiz Show,133.0,1994.0
Picture Bride,94.0,1995.0
Queen Margot,162.0,1994.0
The Quick and the Dead,107.0,1995.0
Roommates,108.0,1995.0
Prêt-à-Porter,133.0,1994.0
Three Colors: Red,99.0,1994.0
Three Colors: Blue,98.0,1993.0
Three Colors: White,91.0,1994.0
"Red Firecracker, Green Firecracker",111.0,1994.0
Rent-a-Kid,85.0,1995.0
Relative Fear,90.0,1995.0
Stuart Saves His Family,95.0,1995.0
The Swan Princess,89.0,1994.0
The Secret of Roan Inish,97.0,1994.0
The Specialist,110.0,1994.0
Stargate,121.0,1994.0
The Santa Clause,97.0,1994.0
The Shawshank Redemption,142.0,1994.0
Shallow Grave,92.0,1994.0
Suture,96.0,1993.0
Strawberry and Chocolate,108.0,1993.0
Swimming with Sharks,101.0,1994.0
The Sum of Us,100.0,1994.0
Senior Trip,91.0,1995.0
To Live,125.0,1994.0
Tank Girl,98.0,1995.0
Tales from the Crypt: Demon Knight,92.0,1995.0
Star Trek: Generations,118.0,1994.0
Tales from the Hood,98.0,1995.0
Tom & Viv,115.0,1994.0
Village of the Damned,99.0,1995.0
Tommy Boy,97.0,1995.0
Vanya on 42nd Street,119.0,1994.0
The Underneath,99.0,1995.0
The Walking Dead,88.0,1995.0
What's Eating Gilbert Grape,118.0,1993.0
Virtuosity,106.0,1995.0
While You Were Sleeping,103.0,1995.0
The War,126.0,1994.0
Double Happiness,87.0,1994.0
Muriel's Wedding,106.0,1994.0
The Baby-Sitters Club,94.0,1995.0
Ace Ventura: Pet Detective,86.0,1994.0
"The Adventures of Priscilla, Queen of the Desert",104.0,1994.0
Backbeat,100.0,1994.0
Bitter Moon,139.0,1992.0
Bullets Over Broadway,98.0,1994.0
Clear and Present Danger,141.0,1994.0
The Client,119.0,1994.0
"Corrina, Corrina",115.0,1994.0
Crooklyn,115.0,1994.0
The Crow,102.0,1994.0
Cobb,128.0,1994.0
The Flintstones,91.0,1994.0
Forrest Gump,142.0,1994.0
Four Weddings and a Funeral,117.0,1994.0
Higher Learning,127.0,1995.0
I Like It Like That,104.0,1994.0
I Love Trouble,123.0,1994.0
It Could Happen to You,101.0,1994.0
The Jungle Book,111.0,1994.0
"The Wonderful, Horrible Life of Leni Riefenstahl",180.0,1993.0
The Lion King,89.0,1994.0
Little Buddha,140.0,1993.0
New Nightmare,112.0,1994.0
The Mask,101.0,1994.0
Maverick,127.0,1994.0
Mrs. Parker and the Vicious Circle,125.0,1994.0
The Naked Gun 33⅓: The Final Insult,83.0,1994.0
The Paper,112.0,1994.0
Reality Bites,99.0,1994.0
Red Rock West,98.0,1993.0
Ri¢hie Ri¢h,95.0,1994.0
Safe Passage,98.0,1994.0
The River Wild,111.0,1994.0
Speed,116.0,1994.0
Speechless,99.0,1994.0
Timecop,99.0,1994.0
True Lies,141.0,1994.0
When a Man Loves a Woman,126.0,1994.0
Wolf,125.0,1994.0
Wyatt Earp,191.0,1994.0
Bad Company,108.0,1995.0
A Man of No Importance,99.0,1994.0
S.F.W.,96.0,1994.0
A Low Down Dirty Shame,100.0,1994.0
"Boys Life: Three Stories of Love, Lust, and Liberation",91.0,1994.0
Colonel Chabert,110.0,1994.0
"Faster, Pussycat! Kill! Kill!",83.0,1965.0
Jason's Lyric,119.0,1994.0
The Secret Adventures of Tom Thumb,61.0,1993.0
Street Fighter,102.0,1994.0
Coldblooded,92.0,1995.0
Desert Winds,97.0,1997.0
Fall Time,88.0,1995.0
The Fear,98.0,1995.0
Frank and Ollie,89.0,1995.0
Girl in the Cadillac,89.0,1995.0
Homage,97.0,1995.0
Mirage,92.0,1995.0
Open Season,97.0,1996.0
Dos Crímenes,0.0,1995.0
Brother Minister: The Assassination of Malcolm X,115.0,1995.0
Highlander: The Final Dimension,99.0,1994.0
Federal Hill,97.0,1995.0
In the Mouth of Madness,95.0,1994.0
8 Seconds,105.0,1994.0
Above the Rim,96.0,1994.0
Addams Family Values,94.0,1993.0
Martin Lawrence: You So Crazy,84.0,1994.0
The Age of Innocence,139.0,1993.0
Airheads,92.0,1994.0
The Air Up There,107.0,1994.0
Another Stakeout,105.0,1993.0
Bad Girls,99.0,1994.0
Barcelona,100.0,1994.0
Being Human,122.0,1994.0
The Beverly Hillbillies,93.0,1993.0
Beverly Hills Cop III,104.0,1994.0
Black Beauty,88.0,1994.0
Blink,106.0,1994.0
Blown Away,121.0,1994.0
Blue Chips,108.0,1994.0
Blue Sky,101.0,1994.0
Body Snatchers,87.0,1993.0
Boxing Helena,107.0,1993.0
A Bronx Tale,121.0,1993.0
Cabin Boy,80.0,1994.0
Calendar Girl,90.0,1993.0
Carlito's Way,144.0,1993.0
City Slickers II: The Legend of Curly's Gold,116.0,1994.0
Clean Slate,107.0,1994.0
Cliffhanger,112.0,1993.0
Coneheads,88.0,1993.0
Color of Night,121.0,1994.0
Cops & Robbersons,93.0,1994.0
The Cowboy Way,102.0,1994.0
Dangerous Game,108.0,1993.0
Dave,110.0,1993.0
Dazed and Confused,102.0,1993.0
Demolition Man,115.0,1993.0
The Endless Summer 2,109.0,1994.0
Even Cowgirls Get the Blues,96.0,1994.0
Fatal Instinct,91.0,1993.0
Farewell My Concubine,171.0,1993.0
The Favor,97.0,1994.0
Fearless,122.0,1993.0
Fear of a Black Hat,88.0,1994.0
With Honors,103.0,1994.0
Flesh and Bone,126.0,1993.0
Widows' Peak,101.0,1994.0
For Love or Money,94.0,1993.0
The Firm,154.0,1993.0
Free Willy,112.0,1993.0
Fresh,114.0,1994.0
The Fugitive,130.0,1993.0
Geronimo: An American Legend,115.0,1993.0
The Getaway,115.0,1994.0
Getting Even with Dad,109.0,1994.0
Go Fish,83.0,1994.0
A Good Man in Africa,94.0,1994.0
Guilty as Sin,107.0,1993.0
Hard Target,97.0,1993.0
Heaven & Earth,140.0,1993.0
Hot Shots! Part Deux,86.0,1993.0
Live Nude Girls,95.0,1995.0
The Englishman Who Went Up a Hill But Came Down a Mountain,99.0,1995.0
The House of the Spirits,140.0,1993.0
House Party 3,100.0,1994.0
The Hudsucker Proxy,111.0,1994.0
I'll Do Anything,115.0,1994.0
In the Army Now,91.0,1994.0
In the Line of Fire,128.0,1993.0
In the Name of the Father,133.0,1993.0
The Inkwell,110.0,1994.0
What's Love Got to Do with It,118.0,1993.0
Jimmy Hollywood,112.0,1994.0
Judgment Night,110.0,1993.0
Jurassic Park,127.0,1993.0
Kalifornia,117.0,1993.0
Killing Zoe,96.0,1993.0
King of the Hill,103.0,1993.0
Lassie,94.0,1994.0
Last Action Hero,130.0,1993.0
Life With Mikey,91.0,1993.0
Lightning Jack,98.0,1994.0
M. Butterfly,101.0,1993.0
Made in America,111.0,1993.0
Malice,107.0,1993.0
The Man without a Face,114.0,1993.0
Manhattan Murder Mystery,104.0,1993.0
Menace II Society,97.0,1993.0
Executive Decision,133.0,1996.0
In the Realm of the Senses,105.0,1976.0
What Happened Was...,91.0,1994.0
Much Ado About Nothing,111.0,1993.0
Mr. Jones,114.0,1993.0
Mr. Wonderful,98.0,1993.0
Mrs. Doubtfire,125.0,1993.0
Naked,131.0,1993.0
The Next Karate Kid,107.0,1994.0
The New Age,112.0,1994.0
No Escape,118.0,1994.0
North,87.0,1994.0
Orlando,93.0,1992.0
A Perfect World,138.0,1993.0
Philadelphia,125.0,1993.0
The Piano,121.0,1993.0
Poetic Justice,109.0,1993.0
The Program,112.0,1993.0
The Puppet Masters,109.0,1994.0
Radioland Murders,108.0,1994.0
The Ref,97.0,1994.0
The Remains of the Day,134.0,1993.0
Renaissance Man,128.0,1994.0
Rising Sun,125.0,1993.0
The Road to Wellville,118.0,1994.0
RoboCop 3,104.0,1993.0
Robin Hood: Men in Tights,104.0,1993.0
Romeo Is Bleeding,100.0,1993.0
Romper Stomper,94.0,1992.0
Ruby in Paradise,114.0,1993.0
Rudy,114.0,1993.0
The Saint of Fort Washington,99.0,1993.0
Savage Nights,126.0,1992.0
Schindler's List,195.0,1993.0
The Scout,101.0,1994.0
Searching for Bobby Fischer,110.0,1993.0
Second Best,105.0,1994.0
The Secret Garden,102.0,1993.0
Serial Mom,95.0,1994.0
The Shadow,108.0,1994.0
Shadowlands,131.0,1993.0
Short Cuts,187.0,1993.0
A Simple Twist of Fate,106.0,1994.0
Sirens,98.0,1993.0
Six Degrees of Separation,112.0,1993.0
Sleepless in Seattle,105.0,1993.0
Sliver,108.0,1993.0
Blade Runner,117.0,1982.0
Son in Law,95.0,1993.0
So I Married an Axe Murderer,93.0,1993.0
Striking Distance,102.0,1993.0
Harem,113.0,1985.0
Super Mario Bros.,104.0,1993.0
Surviving the Game,96.0,1994.0
Terminal Velocity,102.0,1994.0
Thirty Two Short Films About Glenn Gould,93.0,1993.0
Threesome,93.0,1994.0
The Nightmare Before Christmas,76.0,1993.0
The Three Musketeers,105.0,1993.0
Tombstone,130.0,1993.0
Trial by Jury,107.0,1994.0
True Romance,120.0,1993.0
The War Room,96.0,1993.0
The Pagemaster,80.0,1994.0
"Paris, France",112.0,1994.0
"The Beans of Egypt, Maine",0.0,1994.0
Killer,97.0,1994.0
Welcome to the Dollhouse,88.0,1995.0
Germinal,160.0,1993.0
Chasers,102.0,1994.0
Cronos,94.0,1993.0
Naked in New York,95.0,1993.0
Kika,117.0,1993.0
Bhaji on the Beach,100.0,1994.0
Little Big League,119.0,1994.0
The Slingshot,102.0,1993.0
Wide Eyed and Legless,102.0,1993.0
Foreign Student,90.0,1994.0
"Ciao, Professore!",100.0,1992.0
Spanking the Monkey,106.0,1994.0
The Little Rascals,82.0,1994.0
À la mode,82.0,1993.0
Andre,94.0,1994.0
The Escort,92.0,1993.0
Princess Caraboo,97.0,1994.0
The Celluloid Closet,102.0,1996.0
Café au Lait,94.0,1993.0
Dear Diary,100.0,1993.0
I Don't Want to Talk About It,106.0,1993.0
The Brady Bunch Movie,84.0,1995.0
Home Alone,103.0,1990.0
Ghost,127.0,1990.0
Aladdin,90.0,1992.0
Terminator 2: Judgment Day,137.0,1991.0
Dances with Wolves,181.0,1990.0
Tough and Deadly,92.0,1995.0
Batman,126.0,1989.0
The Silence of the Lambs,119.0,1991.0
Snow White and the Seven Dwarfs,83.0,1937.0
Beauty and the Beast,84.0,1991.0
Pinocchio,88.0,1940.0
Pretty Woman,119.0,1990.0
Window to Paris,87.0,1993.0
The Wild Bunch,145.0,1969.0
Love and a .45,101.0,1994.0
The Wooden Man's Bride,113.0,1994.0
A Great Day in Harlem,60.0,1994.0
Bye Bye Love,106.0,1995.0
One Fine Day,108.0,1996.0
Candyman: Farewell to the Flesh,93.0,1995.0
Century,112.0,1993.0
Fargo,98.0,1996.0
Homeward Bound II: Lost in San Francisco,89.0,1996.0
Heavy Metal,90.0,1981.0
Hellraiser: Bloodline,86.0,1996.0
The Pallbearer,97.0,1996.0
Jane Eyre,112.0,1996.0
Loaded,91.0,1996.0
Bread and Chocolate,100.0,1974.0
The Aristocats,78.0,1970.0
The Flower of My Secret,107.0,1995.0
Two Much,118.0,1996.0
Ed,94.0,1996.0
Scream of Stone,105.0,1991.0
My Favorite Season,127.0,1993.0
A Modern Affair,90.0,1996.0
Condition Red,83.0,1995.0
Halfaouine: Boy of the Terraces,98.0,1990.0
A Thin Line Between Love and Hate,108.0,1996.0
The Last Supper,92.0,1995.0
Primal Fear,129.0,1996.0
Rude,89.0,1995.0
Carried Away,109.0,1996.0
All Dogs Go to Heaven 2,82.0,1996.0
Land and Freedom,109.0,1995.0
Denise Calls Up,80.0,1995.0
Theodore Rex,92.0,1995.0
A Family Thing,109.0,1996.0
Frisk,88.0,1996.0
Sgt. Bilko,90.0,1996.0
Jack & Sarah,110.0,1995.0
Girl 6,108.0,1996.0
Diabolique,107.0,1996.0
"Little Indian, Big City",90.0,1994.0
Roula,97.0,1995.0
Peanuts – Die Bank zahlt alles,,1996.0
Happy Weekend,,1996.0
Nelly and Monsieur Arnaud,106.0,1996.0
Courage Under Fire,117.0,1996.0
Mission: Impossible,110.0,1996.0
Cold Fever,85.0,1995.0
Moll Flanders,123.0,1996.0
The Superwife,86.0,1996.0
"301, 302",100.0,1995.0
DragonHeart,103.0,1996.0
Und keiner weint mir nach,,1996.0
My Mother's Courage,93.0,1995.0
Eddie,100.0,1996.0
Yankee Zulu,100.0,1993.0
Billy's Holiday,92.0,1995.0
Purple Noon,115.0,1960.0
August,94.0,1996.0
James and the Giant Peach,79.0,1996.0
Fear,97.0,1996.0
Kids in the Hall: Brain Candy,89.0,1996.0
Faithful,91.0,1996.0
Underground,170.0,1995.0
All Things Fair,130.0,1995.0
Bloodsport II,90.0,1996.0
Pather Panchali,125.0,1955.0
The World of Apu,117.0,1959.0
Mystery Science Theater 3000: The Movie,73.0,1996.0
Tarantella,100.0,1996.0
Space Jam,88.0,1996.0
Barbarella,98.0,1968.0
Hostile Intentions,90.0,1995.0
They Bite,98.0,1996.0
Some Folks Call It a Sling Blade,25.0,1994.0
The Run of the Country,0.0,1995.0
Alphaville,100.0,1965.0
Coup de Torchon,128.0,1981.0
Tigrero: A Film That Was Never Made,75.0,1994.0
The Eye of Vichy,110.0,1993.0
Windows,96.0,1980.0
It's My Party,110.0,1996.0
Country Life,118.0,1994.0
Operation Dumbo Drop,107.0,1995.0
The Promise,115.0,1995.0
Mrs. Winterbourne,105.0,1996.0
Solo,94.0,1996.0
Under The Domim Tree,0.0,1994.0
The Substitute,114.0,1996.0
True Crime,94.0,1996.0
Feeling Minnesota,99.0,1996.0
Delta of Venus,99.0,1995.0
To Cross the Rubicon,0.0,1991.0
Angus,90.0,1995.0
Priest Daens,138.0,1992.0
Faces,130.0,1968.0
Boys,86.0,1996.0
The Quest,95.0,1996.0
Cosi,102.0,1996.0
Sunset Park,99.0,1996.0
Mulholland Falls,107.0,1996.0
The Truth About Cats & Dogs,93.0,1996.0
Oliver & Company,74.0,1988.0
Celtic Pride,91.0,1996.0
Flipper,95.0,1996.0
Captives,100.0,1994.0
Of Love and Shadows,103.0,1994.0
Dead Man,121.0,1995.0
The Horseman on the Roof,135.0,1995.0
Switchblade Sisters,91.0,1975.0
Mouth to Mouth,106.0,1995.0
The Visitors,107.0,1993.0
Multiplicity,117.0,1996.0
"The Haunted World of Edward D. Wood, Jr.",112.0,1996.0
Two Friends,86.0,2002.0
The Craft,101.0,1996.0
The Great White Hype,91.0,1996.0
Last Dance,103.0,1996.0
Cold Comfort Farm,95.0,1995.0
"Institute Benjamenta, or This Dream People Call Human Life",104.0,1995.0
Heaven's Prisoners,132.0,1996.0
Original Gangstas,99.0,1996.0
The Rock,136.0,1996.0
Getting Away with Murder,91.0,1996.0
Cemetery Man,105.0,1994.0
Twister,113.0,1996.0
Barb Wire,98.0,1996.0
Le Garçu,102.0,1995.0
Honeymoon,92.0,1996.0
Ghost in the Shell,83.0,1995.0
Thinner,92.0,1996.0
Spy Hard,81.0,1996.0
Brothers in Trouble,102.0,1995.0
A Close Shave,30.0,1995.0
Force of Evil,78.0,1948.0
The Stupids,94.0,1996.0
The Arrival,115.0,1996.0
The Man from Down Under,103.0,1943.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964.0
Careful,100.0,1992.0
A Month by the Lake,92.0,1995.0
Gold Diggers: The Secret of Bear Mountain,94.0,1995.0
Kim,113.0,1950.0
Carmen Miranda: Bananas Is My Business,91.0,1995.0
Ashes of Time,100.0,1994.0
The Jar,86.0,1994.0
Maya Lin: A Strong Clear Vision,105.0,1995.0
Stalingrad,134.0,1993.0
The Phantom,100.0,1996.0
Striptease,115.0,1996.0
The Last of the High Kings,102.0,1996.0
Heavy,105.0,1995.0
Jack,113.0,1996.0
I Shot Andy Warhol,103.0,1996.0
The Grass Harp,107.0,1995.0
Someone Else's America,96.0,1995.0
Life is Rosy,80.0,1987.0
Quartier Mozart,80.0,1992.0
Touki Bouki,85.0,1973.0
God's Gift,75.0,1982.0
Spirits of the Dead,121.0,1968.0
Babyfever,109.0,1994.0
Pharaoh's  Army,90.0,1995.0
Trainspotting,93.0,1996.0
Til There Was You,113.0,1997.0
Independence Day,145.0,1996.0
Stealing Beauty,116.0,1996.0
The Fan,116.0,1996.0
The Hunchback of Notre Dame,91.0,1996.0
The Cable Guy,96.0,1996.0
Kingpin,113.0,1996.0
Eraser,115.0,1996.0
The Nutty Professor,95.0,1996.0
"I, the Worst of All",105.0,1990.0
An Unforgettable Summer,82.0,1994.0
A Hungarian Fairy Tale,97.0,1987.0
My Life and Times With Antonin Artaud,90.0,1993.0
Midnight Dancers,100.0,1994.0
Somebody to Love,102.0,1994.0
The Old Lady Who Walked in the Sea,0.0,1991.0
Daylight,115.0,1996.0
The Frighteners,110.0,1996.0
Lone Star,135.0,1996.0
Harriet the Spy,100.0,1996.0
Phenomenon,123.0,1996.0
Walking and Talking,86.0,1996.0
She's the One,96.0,1996.0
A Time to Kill,149.0,1996.0
American Buffalo,88.0,1996.0
Rendezvous in Paris,94.0,1995.0
Alaska,109.0,1996.0
Fled,98.0,1996.0
Kazaam,93.0,1996.0
Magic Hunter,106.0,1994.0
Larger Than Life,93.0,1996.0
A Boy Called Hate,0.0,1996.0
Power 98,89.0,1996.0
Two Deaths,102.0,1995.0
A Very Brady Sequel,90.0,1996.0
Stefano Quantestorie,82.0,1993.0
Death in the Garden,104.0,1956.0
Hedd Wyn,123.0,1992.0
La Collectionneuse,89.0,1967.0
Kaspar Hauser,139.0,1993.0
Regular Guys,100.0,1996.0
Diebinnen,,1996.0
The Convent,91.0,1995.0
The Adventures of Pinocchio,90.0,1996.0
Joe's Apartment,78.0,1996.0
The First Wives Club,102.0,1996.0
